timestamp,eventsProcessed,avgLatencyMs,maxLatencyMs,usedMemoryMB
2025-09-12T15:51:35.945Z,91680,0.000,2.308,39
2025-09-12T15:51:36.938Z,122832,0.000,0.052,19
2025-09-12T15:51:37.937Z,140189,0.000,0.046,75
2025-09-12T15:51:38.941Z,135819,0.000,0.041,117
2025-09-12T15:51:39.937Z,166262,0.000,0.120,54
2025-09-12T15:51:40.940Z,170105,0.000,0.077,145
2025-09-12T15:51:41.937Z,128192,0.000,0.042,28
2025-09-12T15:51:42.939Z,147510,0.000,0.024,88
2025-09-12T15:51:43.937Z,128859,0.000,0.027,120
2025-09-12T15:51:44.937Z,115121,0.000,0.062,135
